timestamp,x_raw,y_raw,x_kalman,y_kalman,d_A1,d_A2,d_A3,rssi_A1,rssi_A2,rssi_A3,rejected_A1,rejected_A2,rejected_A3,weight_A1,weight_A2,weight_A3
2026-04-14 15:11:08.398,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:12.724,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:13.134,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:13.684,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:18.050,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:18.462,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:18.975,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:23.372,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:23.785,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:24.565,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:28.701,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:29.092,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:29.855,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:34.329,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:34.430,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:35.146,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:39.657,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:40.371,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:40.436,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:44.987,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:45.695,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:46.017,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:50.312,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:51.330,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:51.604,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:55.635,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
