t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775745729.5155413,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,28,5274182
1775745734.8008811,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,28,5279467
1775745740.18464,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,27,5284851
1775745746.1230714,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,29,5290789
1775745751.4570942,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,29,5296122
1775745757.3879693,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,29,5302053
1775745763.6351888,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,28,5308300
1775745769.2691658,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,28,5313934
1775745774.9013846,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,26,5319566
1775745780.721987,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,26,5325386
1775745786.367868,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,29,5331032
1775745792.615142,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,27,5337279
1775745801.3305702,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,27,5345994
1775745807.572036,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,28,5352235
1775745813.5207102,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,24,5358177
1775745818.8293955,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,27,5363492
1775745824.770671,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,28,5369433
1775745830.3585675,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,27,5375021
1775745836.952733,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,27,5381615
1775745842.2368991,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,25,5386899
1775745847.6076188,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,24,5392269
1775745853.5463247,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,26,5398208
1775745859.7917876,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,28,5404453
1775745865.1152978,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,27,5409776
1775745870.400493,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,29,5415061
1775745875.7684908,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,27,5420429
1775745881.0547915,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,28,5425715
1775745886.3349574,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,27,5430995
1775745891.6210322,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,28,5436281
1775745896.9076262,LOS,A1,a0:f2:62:a4:7d:a2,1.0,-63.0,29,5441568
1775745968.192043,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5512850
1775745973.5616713,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5518219
1775745978.88704,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,29,5523544
1775745984.82377,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-66.0,23,5529481
1775745990.1511154,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,29,5534808
1775745996.09074,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,25,5540746
1775746002.0301833,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5546687
1775746007.6614928,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5552318
1775746013.905779,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5558562
1775746019.8470156,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5564503
1775746026.9090624,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5571565
1775746033.16196,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5577817
1775746038.795459,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-66.0,25,5583451
1775746044.1164067,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5588772
1775746049.7501338,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5594405
1775746055.073067,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,29,5599727
1775746061.3205433,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5605975
1775746070.0167654,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5614671
1775746075.3474174,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5620002
1775746089.583065,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5634237
1775746094.9049072,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5639559
1775746100.194094,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5644848
1775746106.4786415,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5651132
1775746111.804294,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5656458
1775746117.1131608,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5661766
1775746123.9923797,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5668642
1775746129.3151262,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,29,5673968
1775746134.9071903,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5679560
1775746140.2722883,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5684925
1775746220.5048103,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,28,5765155
1775746226.699237,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,28,5771350
1775746232.33239,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,27,5776983
1775746238.2704387,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,29,5782921
1775746243.5948775,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,27,5788245
1775746248.9148262,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,28,5793565
1775746254.553337,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,28,5799203
1775746259.8785436,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,26,5804528
1775746265.8158174,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,28,5810465
1775746271.7606413,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,28,5816409
1775746277.0837219,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,29,5821733
1775746282.7206402,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,29,5827370
1775746288.960677,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,27,5833610
1775746297.8408525,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,29,5842490
1775746303.1980798,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,28,5847847
1775746308.829414,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,28,5853478
1775746315.0732203,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,27,5859722
1775746320.7033432,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,27,5865352
1775746326.3365743,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,26,5870985
1775746331.971949,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,28,5876620
1775746337.6039014,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,26,5882252
1775746342.9250908,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,27,5887573
1775746348.8690205,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,28,5893517
1775746354.4985273,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,26,5899146
1775746359.8213735,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,29,5904469
1775746365.1453402,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,26,5909793
1775746370.46982,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,27,5915117
1775746375.7955515,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,25,5920443
1775746381.123852,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-70.0,25,5925771
1775746387.9808862,LOS,A1,a0:f2:62:a4:7d:a2,3.0,-71.0,26,5932628
1775746450.4140415,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,5995060
1775746456.388321,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6001034
1775746462.0193212,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6006665
1775746468.2642345,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,6012910
1775746473.5905738,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6018236
1775746479.2665427,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6023912
1775746484.952959,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6029598
1775746490.2829676,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6034928
1775746496.2217948,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,26,6040867
1775746502.1590018,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,6046803
1775746507.4868917,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,26,6052132
1775746512.8145583,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6057459
1775746518.4453819,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6063090
1775746523.7707648,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6068415
1775746529.4319234,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6074076
1775746535.030552,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6079675
1775746540.3561304,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,26,6085000
1775746545.984642,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6090629
1775746551.3170176,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,26,6095961
1775746556.6388998,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6101283
1775746562.9842815,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,6107628
1775746568.3125494,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,25,6112956
1775746581.9276013,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6126571
1775746587.2598512,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,6131901
1775746592.5839202,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6137227
1775746597.8989031,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6142542
1775746603.5375028,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6148180
1775746608.8608046,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,25,6153504
1775746614.1870801,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6158830
1775746619.5133977,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6164156
1775746699.7919433,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6244433
1775746705.12168,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6249761
1775746711.0594013,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,26,6255699
1775746716.9970486,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,29,6261637
1775746722.325366,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6266965
1775746727.9536543,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,27,6272593
1775746733.5896797,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6278229
1775746738.998993,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,29,6283640
1775746744.9506466,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,27,6289590
1775746750.8911042,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,26,6295532
1775746756.8277602,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6301468
1775746763.075363,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6307716
1775746777.0025403,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,26,6321641
1775746783.247638,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6327888
1775746788.5721319,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6333212
1775746793.9043608,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6338543
1775746799.8464606,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,27,6344482
1775746806.3764987,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6351016
1775746811.7226775,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,27,6356357
1775746825.9576182,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6370595
1775746831.8989081,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6376538
1775746838.138715,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,26,6382778
1775746843.780696,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,26,6388415
1775746849.4031353,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6394041
1775746854.726379,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6399366
1775746860.0497565,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6404689
1775746865.68094,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,26,6410320
1775746871.3153205,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6415954
1775746913.3883154,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-71.0,26,6458027
1775746918.7303312,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,28,6463366
1775746924.359103,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,28,6468997
1775746929.9881446,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,26,6474626
1775746935.3158529,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,27,6479954
1775746950.1639378,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,29,6494801
1775746955.4901452,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,28,6500128
1775746960.7853456,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,25,6505421
1775746966.1365106,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,27,6510774
1775746971.4613605,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,29,6516099
1775746977.0510068,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-71.0,28,6521687
1775746982.725919,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,28,6527363
1775746988.6637475,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,27,6533301
1775746994.0013058,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,27,6538626
1775746999.6246843,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,25,6544262
1775747004.943948,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,29,6549581
1775747010.581954,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,25,6555219
1775747016.831365,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-71.0,26,6561468
1775747022.254407,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-71.0,28,6566891
1775747027.9844952,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,28,6572621
1775747033.6214092,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,28,6578255
1775747039.8674219,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,27,6584504
1775747046.0975497,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,28,6590733
1775747051.7437785,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-71.0,28,6596380
1775747057.0697088,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-71.0,27,6601706
1775747062.704114,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,26,6607339
1775747068.0329828,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,26,6612669
1775747073.658128,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,26,6618294
1775747078.9813125,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-71.0,28,6623617
1775747084.6179771,LOS,A1,a0:f2:62:a4:7d:a2,6.0,-72.0,27,6629253
1775747322.7827582,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,26,6867434
1775747328.1055214,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,28,6872758
1775747333.4309125,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,27,6878081
1775747338.7486408,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-81.0,28,6883394
1775747361.1208422,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,29,6905766
1775747384.0827038,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,27,6928725
1775747391.298084,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-81.0,25,6935942
1775747397.4858887,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,24,6942130
1775747403.0521474,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-81.0,28,6947697
1775747426.1263473,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,27,6970773
1775747449.094515,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-79.0,28,6993745
1775747472.6897619,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,28,7017341
1775747495.3918405,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-81.0,29,7040043
