t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775757858.7629886,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-68.0,27,8047998
1775757864.0901608,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,28,8053325
1775757869.975645,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,26,8059210
1775757875.3320916,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,28,8064566
1775757880.679264,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,28,8069913
1775757886.004423,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,28,8075238
1775757891.6336792,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,27,8080867
1775757897.2694502,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,28,8086503
1775757902.8992152,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,27,8092132
1775757909.1482227,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,27,8098381
1775757914.7767143,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,27,8104009
1775757920.410533,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,28,8109643
1775757926.0437195,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,28,8115276
1775757931.6749964,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-68.0,27,8120907
1775757937.0018468,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,26,8126234
1775757942.321056,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,26,8131553
1775757947.6511223,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,29,8136883
1775757952.9724035,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,27,8142204
1775757959.2220395,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,26,8148453
1775757964.853959,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-67.0,26,8154085
1775757970.198917,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,28,8159430
1775757975.5039568,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,29,8164735
1775757989.7354286,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,26,8178966
1775757995.3649156,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,27,8184596
1775758000.9674137,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,28,8190198
1775758006.3254461,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,26,8195556
1775758011.9605212,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,25,8201191
1775758017.25533,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,27,8206483
1775758022.917575,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,27,8212148
1775758028.2395146,LOS,A2,a0:f2:62:a4:7d:a2,1.0,-66.0,29,8217470
1775758114.942471,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-69.0,26,8304167
1775758120.3091812,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8309531
1775758125.6328025,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8314855
1775758131.2637007,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8320485
1775758136.8983812,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8326119
1775758145.2874,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8334507
1775758150.620164,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,25,8339839
1775758155.9418786,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8345160
1775758161.577424,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8350795
1775758166.9027662,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8356119
1775758172.229581,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8361444
1775758177.865169,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8367079
1775758183.8022318,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,25,8373017
1775758190.0518515,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8379266
1775758195.3715384,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8384585
1775758200.7010384,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8389914
1775758206.9458673,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8396158
1775758212.272749,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8401483
1775758217.599013,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8406810
1775758222.9225512,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,24,8412133
1775758228.8663156,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8418076
1775758234.8035493,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8424013
1775758240.4352472,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8429644
1775758246.070666,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8435277
1775758251.6981845,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8440906
1775758257.9489272,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8447156
1775758263.5796444,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8452786
1775758269.218829,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8458425
1775758274.5374472,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,25,8463743
1775758280.1682847,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-71.0,28,8469373
1775758986.0350342,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9175214
1775758991.6673818,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9180846
1775758996.9926162,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9186171
1775759002.931535,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9192110
1775759009.1816144,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9198360
1775759015.430527,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9204609
1775759020.7499154,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9209928
1775759035.5992224,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9224777
1775759041.4333088,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9230611
1775759048.9142556,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,29,9238092
1775759054.8491879,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9244027
1775759060.4753907,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9249653
1775759066.1125317,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9255290
1775759072.0499964,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9261227
1775759077.6845596,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9266862
1775759083.0092132,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9272186
1775759088.6437576,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9277821
1775759093.9659,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9283143
1775759099.6000323,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9288777
1775759105.230855,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-77.0,24,9294407
1775759110.5313694,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9299708
1775759116.1869955,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9305363
1775759121.8227494,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9310999
1775759127.4500341,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9316626
1775759132.7796104,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-77.0,26,9321955
1775759138.1015851,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9327277
1775759143.4234138,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9332598
1775759149.0613213,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,25,9338236
1775759158.0654466,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,29,9347240
1775825603.6792486,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,27,354235
1775825609.0357354,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,359590
1775825614.3640115,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,364918
1775825619.9951606,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,28,370548
1775825628.2765102,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,28,378828
1775825634.2347896,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,27,384786
1775825639.5606349,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,26,390111
1775825644.8931243,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,29,395443
1775825650.2127998,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,26,400762
1775825655.9991884,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,29,406548
1775825669.5671926,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,29,420115
1775825674.891604,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,29,425439
1775825680.1818235,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,29,430729
1775825685.5402694,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,436087
1775825691.7923613,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,28,442339
1775825697.080984,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,27,447627
1775825702.748249,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,453293
1775825708.0727732,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,27,458617
1775825713.7113547,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,27,464255
1775825719.3379285,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,469883
1775825724.6585195,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,28,475204
1775825729.9862573,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,26,480531
