t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775825603.6792486,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,27,354235
1775825609.0357354,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,359590
1775825614.3640115,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,364918
1775825619.9951606,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,28,370548
1775825628.2765102,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,28,378828
1775825634.2347896,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,27,384786
1775825639.5606349,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,26,390111
1775825644.8931243,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,29,395443
1775825650.2127998,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,26,400762
1775825655.9991884,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,29,406548
1775825669.5671926,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,29,420115
1775825674.891604,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,29,425439
1775825680.1818235,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,29,430729
1775825685.5402694,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,436087
1775825691.7923613,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,28,442339
1775825697.080984,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,27,447627
1775825702.748249,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,453293
1775825708.0727732,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,27,458617
1775825713.7113547,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,27,464255
1775825719.3379285,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,469883
1775825724.6585195,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,28,475204
1775825729.9862573,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,26,480531
1775825735.307909,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,28,485853
1775825740.9426248,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,26,491487
1775825746.2736554,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,26,496814
1775825751.598215,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,26,502141
1775825757.8443058,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,29,508387
1775825763.4827895,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-79.0,28,514025
1775825769.1067278,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,27,519649
1775825777.3932106,LOS,A2,a0:f2:62:a4:7d:a2,4.0,-80.0,26,527931
