t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775747322.7827582,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,26,6867434
1775747328.1055214,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,28,6872758
1775747333.4309125,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,27,6878081
1775747338.7486408,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-81.0,28,6883394
1775747361.1208422,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,29,6905766
1775747384.0827038,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,27,6928725
1775747391.298084,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-81.0,25,6935942
1775747397.4858887,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,24,6942130
1775747403.0521474,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-81.0,28,6947697
1775747426.1263473,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,27,6970773
1775747449.094515,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-79.0,28,6993745
1775747472.6897619,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-80.0,28,7017341
1775747495.3918405,LOS,A1,a0:f2:62:a4:7d:a2,7.0,-81.0,29,7040043
