t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775746699.7919433,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6244433
1775746705.12168,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6249761
1775746711.0594013,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,26,6255699
1775746716.9970486,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,29,6261637
1775746722.325366,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6266965
1775746727.9536543,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,27,6272593
1775746733.5896797,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6278229
1775746738.998993,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,29,6283640
1775746744.9506466,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,27,6289590
1775746750.8911042,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,26,6295532
1775746756.8277602,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6301468
1775746763.075363,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6307716
1775746777.0025403,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,26,6321641
1775746783.247638,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6327888
1775746788.5721319,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6333212
1775746793.9043608,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6338543
1775746799.8464606,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,27,6344482
1775746806.3764987,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6351016
1775746811.7226775,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,27,6356357
1775746825.9576182,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6370595
1775746831.8989081,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6376538
1775746838.138715,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-75.0,26,6382778
1775746843.780696,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,26,6388415
1775746849.4031353,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6394041
1775746854.726379,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6399366
1775746860.0497565,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,28,6404689
1775746865.68094,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,26,6410320
1775746871.3153205,LOS,A1,a0:f2:62:a4:7d:a2,5.0,-74.0,27,6415954
