t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775758986.0350342,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9175214
1775758991.6673818,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9180846
1775758996.9926162,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9186171
1775759002.931535,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9192110
1775759009.1816144,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9198360
1775759015.430527,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9204609
1775759020.7499154,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9209928
1775759035.5992224,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9224777
1775759041.4333088,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9230611
1775759048.9142556,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,29,9238092
1775759054.8491879,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9244027
1775759060.4753907,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9249653
1775759066.1125317,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9255290
1775759072.0499964,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9261227
1775759077.6845596,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9266862
1775759083.0092132,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9272186
1775759088.6437576,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9277821
1775759093.9659,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9283143
1775759099.6000323,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9288777
1775759105.230855,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-77.0,24,9294407
1775759110.5313694,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9299708
1775759116.1869955,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,27,9305363
1775759121.8227494,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9310999
1775759127.4500341,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,26,9316626
1775759132.7796104,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-77.0,26,9321955
1775759138.1015851,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9327277
1775759143.4234138,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,28,9332598
1775759149.0613213,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,25,9338236
1775759158.0654466,LOS,A2,a0:f2:62:a4:7d:a2,3.0,-78.0,29,9347240
