t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775758114.942471,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-69.0,26,8304167
1775758120.3091812,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8309531
1775758125.6328025,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8314855
1775758131.2637007,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8320485
1775758136.8983812,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8326119
1775758145.2874,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8334507
1775758150.620164,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,25,8339839
1775758155.9418786,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8345160
1775758161.577424,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8350795
1775758166.9027662,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8356119
1775758172.229581,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8361444
1775758177.865169,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8367079
1775758183.8022318,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,25,8373017
1775758190.0518515,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8379266
1775758195.3715384,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8384585
1775758200.7010384,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8389914
1775758206.9458673,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8396158
1775758212.272749,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,29,8401483
1775758217.599013,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8406810
1775758222.9225512,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,24,8412133
1775758228.8663156,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8418076
1775758234.8035493,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8424013
1775758240.4352472,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8429644
1775758246.070666,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,28,8435277
1775758251.6981845,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8440906
1775758257.9489272,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8447156
1775758263.5796444,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,26,8452786
1775758269.218829,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,27,8458425
1775758274.5374472,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-70.0,25,8463743
1775758280.1682847,LOS,A2,a0:f2:62:a4:7d:a2,2.0,-71.0,28,8469373
