t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775746450.4140415,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,5995060
1775746456.388321,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6001034
1775746462.0193212,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6006665
1775746468.2642345,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,6012910
1775746473.5905738,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6018236
1775746479.2665427,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6023912
1775746484.952959,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6029598
1775746490.2829676,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6034928
1775746496.2217948,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,26,6040867
1775746502.1590018,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,6046803
1775746507.4868917,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,26,6052132
1775746512.8145583,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6057459
1775746518.4453819,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6063090
1775746523.7707648,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6068415
1775746529.4319234,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6074076
1775746535.030552,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6079675
1775746540.3561304,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,26,6085000
1775746545.984642,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6090629
1775746551.3170176,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,26,6095961
1775746556.6388998,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6101283
1775746562.9842815,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,6107628
1775746568.3125494,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,25,6112956
1775746581.9276013,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6126571
1775746587.2598512,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,27,6131901
1775746592.5839202,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6137227
1775746597.8989031,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6142542
1775746603.5375028,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,29,6148180
1775746608.8608046,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,25,6153504
1775746614.1870801,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6158830
1775746619.5133977,LOS,A1,a0:f2:62:a4:7d:a2,4.0,-71.0,28,6164156
