t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775745968.192043,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5512850
1775745973.5616713,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5518219
1775745978.88704,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,29,5523544
1775745984.82377,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-66.0,23,5529481
1775745990.1511154,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,29,5534808
1775745996.09074,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,25,5540746
1775746002.0301833,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5546687
1775746007.6614928,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5552318
1775746013.905779,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5558562
1775746019.8470156,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5564503
1775746026.9090624,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5571565
1775746033.16196,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5577817
1775746038.795459,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-66.0,25,5583451
1775746044.1164067,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5588772
1775746049.7501338,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5594405
1775746055.073067,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,29,5599727
1775746061.3205433,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5605975
1775746070.0167654,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5614671
1775746075.3474174,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5620002
1775746089.583065,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5634237
1775746094.9049072,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5639559
1775746100.194094,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5644848
1775746106.4786415,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5651132
1775746111.804294,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5656458
1775746117.1131608,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,26,5661766
1775746123.9923797,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,28,5668642
1775746129.3151262,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,29,5673968
1775746134.9071903,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5679560
1775746140.2722883,LOS,A1,a0:f2:62:a4:7d:a2,2.0,-65.0,27,5684925
